index,Weight,Source,Target
"海口市,三亚市",22510,海口市,三亚市
"柳州市,来宾市",12202,柳州市,来宾市
"海口市,海南省",11727,海口市,海南省
"南宁市,崇左市",10052,南宁市,崇左市
"梧州市,贺州市",7444,梧州市,贺州市
"焦作市,河南省",5571,焦作市,河南省
"金昌市,武威市",4965,金昌市,武威市
"玉林市,贵港市",4634,玉林市,贵港市
"广州市,佛山市",4463,广州市,佛山市
"西安市,咸阳市",4459,西安市,咸阳市
"深圳市,东莞市",4026,深圳市,东莞市
"资阳市,成都市",3250,资阳市,成都市
"六安市,淮南市",3203,六安市,淮南市
"广州市,东莞市",2638,广州市,东莞市
"深圳市,广州市",2515,深圳市,广州市
"北京市,廊坊市",2468,北京市,廊坊市
"东莞市,深圳市",2350,东莞市,深圳市
"深圳市,惠州市",2292,深圳市,惠州市
"武汉市,湖北省",2284,武汉市,湖北省
"佛山市,广州市",2279,佛山市,广州市
"贵阳市,黔南布依族苗族自治州",2230,贵阳市,黔南布依族苗族自治州
"广州市,深圳市",2208,广州市,深圳市
"上海市,苏州市",2204,上海市,苏州市
"阜阳市,亳州市",2182,阜阳市,亳州市
"酒泉市,嘉峪关市",2065,酒泉市,嘉峪关市
"海口市,儋州市",2065,海口市,儋州市
"东莞市,广州市",1943,东莞市,广州市
"昆明市,普洱市",1942,昆明市,普洱市
"乌鲁木齐市,巴音郭楞蒙古自治州",1885,乌鲁木齐市,巴音郭楞蒙古自治州
"咸阳市,西安市",1847,咸阳市,西安市
"成都市,重庆市",1800,成都市,重庆市
"乌鲁木齐市,新疆维吾尔自治区",1737,乌鲁木齐市,新疆维吾尔自治区
"合肥市,马鞍山市",1716,合肥市,马鞍山市
"昌吉回族自治州,新疆维吾尔自治区",1573,昌吉回族自治州,新疆维吾尔自治区
"哈尔滨市,绥化市",1533,哈尔滨市,绥化市
"西宁市,海西蒙古族藏族自治州",1459,西宁市,海西蒙古族藏族自治州
"安庆市,铜陵市",1446,安庆市,铜陵市
"郑州市,开封市",1408,郑州市,开封市
"珠海市,中山市",1388,珠海市,中山市
"合肥市,芜湖市",1378,合肥市,芜湖市
"北京市,天津市",1293,北京市,天津市
"长春市,延边朝鲜族自治州",1282,长春市,延边朝鲜族自治州
"苏州市,无锡市",1253,苏州市,无锡市
"贵阳市,黔西南布依族苗族自治州",1203,贵阳市,黔西南布依族苗族自治州
"阿克苏地区,新疆维吾尔自治区",1196,阿克苏地区,新疆维吾尔自治区
"东莞市,惠州市",1191,东莞市,惠州市
"长沙市,株洲市",1182,长沙市,株洲市
"长沙市,湘潭市",1162,长沙市,湘潭市
"厦门市,漳州市",1155,厦门市,漳州市
"泉州市,厦门市",1103,泉州市,厦门市
"贵阳市,黔东南苗族侗族自治州",1096,贵阳市,黔东南苗族侗族自治州
"湘潭市,长沙市",1079,湘潭市,长沙市
"株洲市,长沙市",1077,株洲市,长沙市
"乌鲁木齐市,塔城地区",1056,乌鲁木齐市,塔城地区
"成都市,眉山市",1055,成都市,眉山市
"苏州市,上海市",1037,苏州市,上海市
"乌鲁木齐市,昌吉回族自治州",963,乌鲁木齐市,昌吉回族自治州
"太原市,晋中市",953,太原市,晋中市
"开封市,郑州市",952,开封市,郑州市
"杭州市,绍兴市",936,杭州市,绍兴市
"成都市,德阳市",934,成都市,德阳市
"乌鲁木齐市,伊犁哈萨克自治州",933,乌鲁木齐市,伊犁哈萨克自治州
"阿勒泰地区,新疆维吾尔自治区",925,阿勒泰地区,新疆维吾尔自治区
"北京市,保定市",923,北京市,保定市
"喀什地区,新疆维吾尔自治区",915,喀什地区,新疆维吾尔自治区
"杭州市,金华市",914,杭州市,金华市
"无锡市,苏州市",894,无锡市,苏州市
"杭州市,嘉兴市",888,杭州市,嘉兴市
"武汉市,孝感市",860,武汉市,孝感市
"昆明市,大理白族自治州",852,昆明市,大理白族自治州
"温州市,杭州市",848,温州市,杭州市
"昆明市,曲靖市",844,昆明市,曲靖市
"厦门市,泉州市",827,厦门市,泉州市
"广州市,中山市",805,广州市,中山市
"大庆市,绥化市",801,大庆市,绥化市
"广州市,惠州市",793,广州市,惠州市
"西宁市,海南藏族自治州",792,西宁市,海南藏族自治州
"广州市,清远市",776,广州市,清远市
"贵阳市,遵义市",775,贵阳市,遵义市
"玉林市,南宁市",765,玉林市,南宁市
"无锡市,常州市",763,无锡市,常州市
"郑州市,洛阳市",760,郑州市,洛阳市
"渭南市,西安市",760,渭南市,西安市
"西安市,渭南市",759,西安市,渭南市
"郑州市,周口市",749,郑州市,周口市
"上海市,杭州市",749,上海市,杭州市
"南京市,镇江市",745,南京市,镇江市
"绍兴市,杭州市",737,绍兴市,杭州市
"杭州市,湖州市",733,杭州市,湖州市
"漳州市,厦门市",731,漳州市,厦门市
"湛江市,广州市",728,湛江市,广州市
"郑州市,新乡市",721,郑州市,新乡市
"眉山市,成都市",721,眉山市,成都市
"吉林市,延边朝鲜族自治州",719,吉林市,延边朝鲜族自治州
"长沙市,岳阳市",709,长沙市,岳阳市
"重庆市,成都市",705,重庆市,成都市
"昆明市,楚雄彝族自治州",705,昆明市,楚雄彝族自治州
"周口市,郑州市",702,周口市,郑州市
"克拉玛依市,塔城地区",698,克拉玛依市,塔城地区
"常州市,无锡市",693,常州市,无锡市
"郑州市,许昌市",681,郑州市,许昌市
"益阳市,长沙市",677,益阳市,长沙市
"北京市,上海市",671,北京市,上海市
"成都市,资阳市",664,成都市,资阳市
"深圳市,重庆市",661,深圳市,重庆市
"成都市,绵阳市",657,成都市,绵阳市
"阿克苏地区,巴音郭楞蒙古自治州",657,阿克苏地区,巴音郭楞蒙古自治州
"佛山市,中山市",656,佛山市,中山市
"杭州市,上海市",654,杭州市,上海市
"西安市,宝鸡市",648,西安市,宝鸡市
"深圳市,佛山市",634,深圳市,佛山市
"吕梁市,太原市",633,吕梁市,太原市
"北京市,重庆市",626,北京市,重庆市
"温州市,金华市",623,温州市,金华市
"上海市,重庆市",620,上海市,重庆市
"西双版纳傣族自治州,普洱市",620,西双版纳傣族自治州,普洱市
"四平市,长春市",614,四平市,长春市
"石家庄市,普洱市",612,石家庄市,普洱市
"武汉市,黄冈市",605,武汉市,黄冈市
